Country,grade_fra,route_count,color_intensity
Germany,8b+/8c,14,14
Germany,8b/+,26,26
Germany,8c,5,5
Germany,8c+,2,2
Germany,8c+/9a,4,4
Germany,8c/+,12,12
Germany,9a+/9b,1,1
Greece,5,24,24
Greece,5a,10,10
Greece,5a+,30,30
Greece,5b,20,20
Greece,5b+,79,79
Greece,5c,40,40
Greece,5c+,13,13
Greece,6,91,91
Greece,6a,61,61
Greece,6a+,76,76
Greece,6a+/6b,119,119
Greece,6a/+,115,115
Greece,6b,76,76
Greece,6b+,82,82
Greece,6b+/6c,108,108
Greece,6b/+,94,94
Greece,6c,74,74
Greece,6c+,43,43
Greece,6c+/7a,32,32
Greece,6c/+,86,86
Greece,7a,94,94
Greece,7a+,85,85
Greece,7a+/7b,50,50
Greece,7a/+,48,48
Greece,7b,79,79
Greece,7b+,64,64
Greece,7b+/7c,36,36
Greece,7b/+,40,40
Greece,7c,67,67
Greece,7c+,39,39
Greece,7c+/8a,28,28
Greece,7c/+,34,34
Greece,8a,13,13
Greece,8a+,19,19
Greece,8a+/8b,27,27
Greece,8a/+,42,42
Greece,8b,11,11
Greece,8b+,8,8
Greece,8b+/8c,6,6
Greece,8b/+,21,21
Greece,8c,5,5
Greece,8c+,1,1
Greece,8c+/9a,2,2
Greece,8c/+,1,1
Hungary,5,5,5
Hungary,5a+,4,4
Hungary,5b,2,2
Hungary,5b+,4,4
Hungary,5c,3,3
Hungary,5c+,2,2
Hungary,6,9,9
Hungary,6a,6,6
Hungary,6a+,4,4
Hungary,6a+/6b,8,8
Hungary,6a/+,13,13
Hungary,6b,4,4
Hungary,6b+,1,1
Hungary,6b+/6c,3,3
Hungary,6b/+,5,5
Hungary,6c,1,1
Hungary,6c+,5,5
Hungary,6c+/7a,5,5
Hungary,6c/+,4,4
Hungary,7a,5,5
Hungary,7a+,3,3
Hungary,7a+/7b,6,6
Hungary,7a/+,4,4
Hungary,7b,6,6
Hungary,7b+,5,5
Hungary,7b+/7c,6,6
Hungary,7b/+,3,3
Hungary,7c,9,9
Hungary,7c+,1,1
Hungary,7c+/8a,2,2
Hungary,7c/+,4,4
Hungary,8a+,2,2
Hungary,8a+/8b,5,5
Hungary,8b,3,3
Hungary,8b+,1,1
Hungary,8b+/8c,3,3
Hungary,8b/+,6,6
Hungary,8c/+,1,1
Iceland,5a+,2,2
Iceland,5b,1,1
Iceland,5b+,3,3
Iceland,5c,1,1
Iceland,6,2,2
Iceland,6a,1,1
Iceland,6a+/6b,2,2
Iceland,6b+,1,1
Iceland,6b+/6c,2,2
Iceland,6b/+,1,1
Iceland,6c+,1,1
Iceland,6c/+,1,1
Iceland,7a,1,1
Iceland,7a+/7b,2,2
Iceland,7b,2,2
Iceland,7b+,1,1
Iceland,7b+/7c,2,2
Italy,5,71,71
Italy,5a,18,18
Italy,5a+,100,100
Italy,5b,41,41
